(vscode) D:\Code\Github\Other\Python\DBN手写数字识别>python src\model\train.py --layers 784,1000,500,250 --pretrain_epochs 50 --pretrain_lr 0.01 --epochs 100 --lr 0.001 --batch_size 256
Using bundled font for Chinese labels: Microsoft YaHei
Stage: Loading MNIST dataset...
Stage: Initializing DBN with layer sizes: [784, 1000, 500, 250]
Stage: Pretraining RBMs...
Pretraining RBM 0: 784->1000
  6: 98.23%  (n=958)
  7: 97.76%  (n=1028)
  8: 97.64%  (n=974)
  9: 94.95%  (n=1009)
Top confusions (true -> predicted counts):
  5 -> 3: 24
  9 -> 4: 19
  9 -> 3: 10
  9 -> 7: 9
  7 -> 4: 9
  2 -> 8: 9
  0 -> 6: 9
  8 -> 2: 8
  8 -> 3: 7
  4 -> 6: 6
Stage: Fine-tune epoch 32/100 loss=0.007337
 Test accuracy: 98.11%
Per-class accuracy:
  0: 99.49%  (n=980)
  1: 99.47%  (n=1135)
  2: 98.45%  (n=1032)
  3: 99.11%  (n=1010)
  4: 97.96%  (n=982)
  5: 96.08%  (n=892)
  6: 97.29%  (n=958)
  7: 98.05%  (n=1028)
  8: 97.54%  (n=974)
  9: 97.22%  (n=1009)
Top confusions (true -> predicted counts):
  5 -> 3: 26
  8 -> 3: 8
  6 -> 5: 8
  4 -> 9: 8
  6 -> 0: 7
  4 -> 6: 7
  9 -> 4: 6
  9 -> 3: 6
  8 -> 9: 6
  7 -> 1: 6
Stage: Fine-tune epoch 33/100 loss=0.005242
 Test accuracy: 98.36%
Per-class accuracy:
  0: 99.18%  (n=980)
  1: 99.47%  (n=1135)
  2: 98.74%  (n=1032)
  3: 97.43%  (n=1010)
  4: 98.17%  (n=982)
  5: 98.54%  (n=892)
  6: 98.54%  (n=958)
  7: 97.67%  (n=1028)
  8: 98.46%  (n=974)
  9: 97.32%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 13
  9 -> 4: 11
  4 -> 6: 9
  3 -> 9: 9
  3 -> 5: 8
  6 -> 0: 6
  3 -> 2: 5
  8 -> 9: 4
  7 -> 1: 4
  5 -> 3: 4
Stage: Fine-tune epoch 34/100 loss=0.004538
 Test accuracy: 98.42%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.47%  (n=1135)
  2: 98.26%  (n=1032)
  3: 98.32%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.23%  (n=958)
  7: 97.76%  (n=1028)
  8: 98.46%  (n=974)
  9: 97.52%  (n=1009)
Top confusions (true -> predicted counts):
  9 -> 4: 9
  7 -> 2: 9
  2 -> 8: 7
  5 -> 3: 6
  3 -> 5: 6
  9 -> 8: 5
  6 -> 4: 5
  5 -> 8: 5
  4 -> 6: 5
  9 -> 7: 4
Stage: Fine-tune epoch 35/100 loss=0.002368
 Test accuracy: 98.31%
Per-class accuracy:
  0: 99.18%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.64%  (n=1032)
  3: 98.42%  (n=1010)
  4: 96.03%  (n=982)
  5: 98.43%  (n=892)
  6: 97.49%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.36%  (n=974)
  9: 98.91%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 28
  6 -> 5: 12
  7 -> 2: 7
  3 -> 5: 6
  2 -> 8: 6
  8 -> 9: 5
  6 -> 4: 5
  5 -> 8: 5
  5 -> 3: 5
  4 -> 6: 5
Stage: Fine-tune epoch 36/100 loss=0.004223
 Test accuracy: 98.28%
Per-class accuracy:
  0: 98.98%  (n=980)
  1: 99.38%  (n=1135)
  2: 98.16%  (n=1032)
  3: 98.61%  (n=1010)
  4: 96.74%  (n=982)
  5: 97.98%  (n=892)
  6: 98.43%  (n=958)
  7: 98.25%  (n=1028)
  8: 98.15%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 22
  5 -> 3: 10
  7 -> 2: 6
  4 -> 6: 6
  2 -> 7: 6
  8 -> 9: 5
  2 -> 8: 5
  9 -> 5: 4
  9 -> 4: 4
  8 -> 4: 4
Stage: Fine-tune epoch 37/100 loss=0.003598
 Test accuracy: 98.39%
Per-class accuracy:
  0: 99.49%  (n=980)
  1: 98.94%  (n=1135)
  2: 98.55%  (n=1032)
  3: 98.51%  (n=1010)
  4: 97.56%  (n=982)
  5: 98.21%  (n=892)
  6: 98.23%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.46%  (n=974)
  9: 97.82%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 15
  5 -> 3: 8
  7 -> 2: 7
  4 -> 6: 6
  3 -> 5: 6
  6 -> 5: 5
  6 -> 0: 5
  2 -> 8: 5
  9 -> 7: 4
  9 -> 5: 4
Stage: Fine-tune epoch 38/100 loss=0.000657
 Test accuracy: 98.44%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.45%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.57%  (n=982)
  5: 97.76%  (n=892)
  6: 98.64%  (n=958)
  7: 97.86%  (n=1028)
  8: 97.33%  (n=974)
  9: 98.12%  (n=1009)
Top confusions (true -> predicted counts):
  5 -> 3: 12
  7 -> 2: 8
  8 -> 4: 6
  8 -> 3: 6
  4 -> 9: 6
  9 -> 4: 5
  7 -> 1: 5
  4 -> 6: 5
  3 -> 5: 5
  2 -> 7: 5
Stage: Fine-tune epoch 39/100 loss=0.001013
 Test accuracy: 98.31%
Per-class accuracy:
  0: 99.49%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.35%  (n=1032)
  3: 98.42%  (n=1010)
  4: 97.86%  (n=982)
  5: 97.76%  (n=892)
  6: 98.85%  (n=958)
  7: 97.57%  (n=1028)
  8: 97.74%  (n=974)
  9: 97.62%  (n=1009)
Top confusions (true -> predicted counts):
  5 -> 3: 12
  7 -> 9: 7
  7 -> 2: 7
  4 -> 9: 7
  4 -> 6: 7
  8 -> 3: 6
  7 -> 1: 6
  2 -> 7: 6
  9 -> 7: 5
  9 -> 4: 5
Stage: Fine-tune epoch 40/100 loss=0.000855
 Test accuracy: 98.43%
Per-class accuracy:
  0: 99.49%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.55%  (n=1032)
  3: 98.32%  (n=1010)
  4: 97.96%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.35%  (n=1028)
  8: 97.84%  (n=974)
  9: 97.62%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 9
  5 -> 3: 8
  9 -> 7: 6
  9 -> 4: 6
  8 -> 9: 6
  4 -> 6: 6
  3 -> 7: 6
  3 -> 5: 6
  7 -> 2: 5
  2 -> 7: 5
Stage: Fine-tune epoch 41/100 loss=0.001457
 Test accuracy: 98.30%
Per-class accuracy:
  0: 99.59%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.26%  (n=1032)
  3: 98.32%  (n=1010)
  4: 98.37%  (n=982)
  5: 98.32%  (n=892)
  6: 98.54%  (n=958)
  7: 98.44%  (n=1028)
  8: 96.82%  (n=974)
  9: 96.93%  (n=1009)
Top confusions (true -> predicted counts):
  9 -> 4: 10
  5 -> 3: 8
  9 -> 7: 7
  8 -> 0: 7
  8 -> 9: 6
  8 -> 3: 6
  3 -> 7: 6
  2 -> 7: 6
  7 -> 2: 5
  6 -> 0: 5
Stage: Fine-tune epoch 42/100 loss=0.007439
 Test accuracy: 97.73%
Per-class accuracy:
  0: 99.18%  (n=980)
  1: 98.94%  (n=1135)
  2: 97.38%  (n=1032)
  3: 98.51%  (n=1010)
  4: 98.37%  (n=982)
  5: 97.53%  (n=892)
  6: 97.39%  (n=958)
  7: 97.28%  (n=1028)
  8: 96.41%  (n=974)
  9: 96.13%  (n=1009)
Top confusions (true -> predicted counts):
  8 -> 3: 16
  5 -> 3: 15
  9 -> 4: 11
  2 -> 3: 11
  7 -> 2: 10
  6 -> 0: 8
  2 -> 8: 8
  9 -> 7: 7
  9 -> 5: 7
  7 -> 9: 7
Stage: Fine-tune epoch 43/100 loss=0.018781
 Test accuracy: 98.02%
Per-class accuracy:
  0: 98.98%  (n=980)
  1: 99.21%  (n=1135)
  2: 97.97%  (n=1032)
  3: 98.02%  (n=1010)
  4: 97.15%  (n=982)
  5: 97.42%  (n=892)
  6: 97.81%  (n=958)
  7: 98.44%  (n=1028)
  8: 97.54%  (n=974)
  9: 97.42%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 17
  5 -> 3: 14
  3 -> 2: 11
  9 -> 7: 9
  7 -> 2: 8
  6 -> 5: 7
  8 -> 3: 6
  4 -> 6: 6
  2 -> 0: 6
  9 -> 5: 5
Stage: Fine-tune epoch 44/100 loss=0.007022
 Test accuracy: 98.23%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 98.59%  (n=1135)
  2: 98.26%  (n=1032)
  3: 98.22%  (n=1010)
  4: 97.76%  (n=982)
  5: 97.53%  (n=892)
  6: 98.23%  (n=958)
  7: 97.67%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.12%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 12
  7 -> 9: 9
  5 -> 3: 8
  4 -> 6: 7
  7 -> 2: 6
  5 -> 8: 5
  3 -> 8: 5
  3 -> 2: 5
  1 -> 8: 5
  8 -> 9: 4
Stage: Fine-tune epoch 45/100 loss=0.002213
 Test accuracy: 98.40%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.51%  (n=1010)
  4: 98.47%  (n=982)
  5: 97.09%  (n=892)
  6: 98.64%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.46%  (n=974)
  9: 97.13%  (n=1009)
Top confusions (true -> predicted counts):
  5 -> 3: 10
  7 -> 2: 8
  9 -> 8: 7
  9 -> 4: 6
  5 -> 6: 5
  4 -> 9: 5
  4 -> 6: 5
  9 -> 7: 4
  8 -> 9: 4
  7 -> 9: 4
Stage: Fine-tune epoch 46/100 loss=0.000517
 Test accuracy: 98.55%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.74%  (n=1032)
  3: 98.71%  (n=1010)
  4: 98.07%  (n=982)
  5: 98.09%  (n=892)
  6: 98.64%  (n=958)
  7: 97.96%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.12%  (n=1009)
Top confusions (true -> predicted counts):
  4 -> 9: 9
  7 -> 2: 7
  5 -> 3: 7
  7 -> 9: 6
  9 -> 4: 5
  8 -> 9: 5
  3 -> 9: 5
  7 -> 8: 4
  6 -> 1: 4
  4 -> 6: 4
Stage: Fine-tune epoch 47/100 loss=0.000054
 Test accuracy: 98.63%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.74%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.57%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.67%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  4 -> 9: 5
  6 -> 1: 4
  5 -> 9: 4
  4 -> 6: 4
Stage: Fine-tune epoch 48/100 loss=0.000019
 Test accuracy: 98.63%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.57%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  4 -> 9: 5
  6 -> 1: 4
  5 -> 9: 4
  4 -> 6: 4
Stage: Fine-tune epoch 49/100 loss=0.000015
 Test accuracy: 98.66%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.84%  (n=1032)
  3: 99.01%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.75%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.67%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  6 -> 1: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
Stage: Fine-tune epoch 50/100 loss=0.000012
 Test accuracy: 98.65%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.84%  (n=1032)
  3: 99.01%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.75%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  6 -> 1: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
Stage: Fine-tune epoch 51/100 loss=0.000010
 Test accuracy: 98.64%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.21%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.75%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  6 -> 1: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
Stage: Fine-tune epoch 52/100 loss=0.000008
 Test accuracy: 98.66%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 53/100 loss=0.000007
 Test accuracy: 98.66%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 54/100 loss=0.000006
 Test accuracy: 98.66%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 55/100 loss=0.000005
 Test accuracy: 98.66%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 97.98%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 56/100 loss=0.000005
 Test accuracy: 98.67%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 57/100 loss=0.000004
 Test accuracy: 98.67%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 97.92%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 8: 5
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 58/100 loss=0.000004
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 59/100 loss=0.000003
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 60/100 loss=0.000003
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 61/100 loss=0.000002
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 62/100 loss=0.000002
 Test accuracy: 98.69%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
  7 -> 8: 3
Stage: Fine-tune epoch 63/100 loss=0.000002
 Test accuracy: 98.69%
Per-class accuracy:
  0: 99.29%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.15%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 6
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
  7 -> 8: 3
Stage: Fine-tune epoch 64/100 loss=0.000002
 Test accuracy: 98.69%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.85%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
  7 -> 8: 3
Stage: Fine-tune epoch 65/100 loss=0.000001
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  6 -> 0: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 66/100 loss=0.000001
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  6 -> 0: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 67/100 loss=0.000001
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  6 -> 0: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 68/100 loss=0.000001
 Test accuracy: 98.67%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.09%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.46%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  6 -> 0: 4
  5 -> 9: 4
  4 -> 6: 4
  9 -> 3: 3
Stage: Fine-tune epoch 69/100 loss=0.000001
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.91%  (n=1010)
  4: 98.78%  (n=982)
  5: 98.21%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.46%  (n=974)
  9: 98.02%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  9 -> 8: 4
  6 -> 0: 4
  4 -> 6: 4
  9 -> 3: 3
  8 -> 3: 3
Stage: Fine-tune epoch 70/100 loss=0.000001
 Test accuracy: 98.67%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.81%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.21%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.46%  (n=974)
  9: 98.12%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  6 -> 0: 4
  4 -> 9: 4
  4 -> 6: 4
  3 -> 2: 4
  9 -> 8: 3
Stage: Fine-tune epoch 71/100 loss=0.000001
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.81%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.21%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.12%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  6 -> 0: 4
  4 -> 9: 4
  4 -> 6: 4
  3 -> 2: 4
  9 -> 8: 3
Stage: Fine-tune epoch 72/100 loss=0.000001
 Test accuracy: 98.68%
Per-class accuracy:
  0: 99.39%  (n=980)
  1: 99.30%  (n=1135)
  2: 98.84%  (n=1032)
  3: 98.81%  (n=1010)
  4: 98.68%  (n=982)
  5: 98.21%  (n=892)
  6: 98.75%  (n=958)
  7: 98.05%  (n=1028)
  8: 98.56%  (n=974)
  9: 98.12%  (n=1009)
Top confusions (true -> predicted counts):
  7 -> 2: 7
  5 -> 3: 6
  9 -> 4: 5
  8 -> 9: 5
  7 -> 9: 5
  6 -> 0: 4
  4 -> 9: 4
  4 -> 6: 4
  3 -> 2: 4
  9 -> 8: 3
Stage: Fine-tune epoch 73/100 loss=0.000001
